Wavelength,Absorbance
400,0.598
401,0.606
402,0.612
403,0.618
404,0.623
405,0.627
406,0.632
407,0.637
408,0.641
409,0.645
410,0.650
411,0.654
412,0.658
413,0.663
414,0.666
415,0.670
416,0.673
417,0.676
418,0.679
419,0.681
420,0.683
421,0.684
422,0.685
423,0.686
424,0.687
425,0.687
426,0.687
427,0.687
428,0.687
429,0.686
430,0.685
431,0.683
432,0.681
433,0.679
434,0.677
435,0.674
436,0.670
437,0.666
438,0.661
439,0.656
440,0.650
441,0.644
442,0.637
443,0.630
444,0.622
445,0.614
446,0.605
447,0.596
448,0.586
449,0.577
450,0.567
451,0.557
452,0.546
453,0.536
454,0.525
455,0.514
456,0.504
457,0.493
458,0.482
459,0.471
460,0.460
461,0.449
462,0.438
463,0.427
464,0.417
465,0.406
466,0.394
467,0.383
468,0.372
469,0.360
470,0.349
471,0.337
472,0.326
473,0.314
474,0.302
475,0.291
476,0.280
477,0.268
478,0.257
479,0.246
480,0.235
481,0.225
482,0.214
483,0.204
484,0.194
485,0.185
486,0.175
487,0.166
488,0.157
489,0.149
490,0.141
491,0.133
492,0.126
493,0.118
494,0.111
495,0.105
496,0.098
497,0.093
498,0.087
499,0.082
500,0.077
501,0.073
502,0.069
503,0.065
504,0.061
505,0.058
506,0.056
507,0.053
508,0.051
509,0.049
510,0.047
511,0.045
512,0.043
513,0.041
514,0.040
515,0.038
516,0.037
517,0.036
518,0.035
519,0.033
520,0.032
521,0.031
522,0.030
523,0.029
524,0.028
525,0.027
526,0.026
527,0.026
528,0.025
529,0.024
530,0.023
531,0.023
532,0.022
533,0.021
534,0.021
535,0.020
536,0.020
537,0.019
538,0.019
539,0.018
540,0.018
541,0.018
542,0.018
543,0.017
544,0.017
545,0.017
546,0.017
547,0.017
548,0.016
549,0.016
550,0.015
551,0.015
552,0.015
553,0.014
554,0.014
555,0.014
556,0.014
557,0.013
558,0.014
559,0.014
560,0.014
561,0.014
562,0.013
563,0.013
564,0.012
565,0.012
566,0.012
567,0.011
568,0.011
569,0.011
570,0.011
571,0.010
572,0.010
573,0.010
574,0.010
575,0.010
576,0.010
577,0.010
578,0.010
579,0.010
580,0.010
581,0.010
582,0.010
583,0.010
584,0.009
585,0.009
586,0.009
587,0.008
588,0.008
589,0.008
590,0.008
591,0.009
592,0.010
593,0.010
594,0.010
595,0.010
596,0.010
597,0.010
598,0.009
599,0.009
600,0.009
601,0.008
602,0.008
603,0.008
604,0.008
605,0.008
606,0.008
607,0.008
608,0.009
609,0.009
610,0.009
611,0.009
612,0.009
613,0.009
614,0.009
615,0.009
616,0.008
617,0.008
618,0.008
619,0.008
620,0.008
621,0.008
622,0.008
623,0.008
624,0.008
625,0.008
626,0.008
627,0.008
628,0.008
629,0.008
630,0.008
631,0.008
632,0.008
633,0.008
634,0.007
635,0.007
636,0.007
637,0.007
638,0.007
639,0.007
640,0.007
641,0.008
642,0.008
643,0.008
644,0.008
645,0.008
646,0.008
647,0.008
648,0.008
649,0.007
650,0.007
651,0.007
652,0.006
653,0.006
654,0.005
655,0.005
656,0.005
657,0.005
658,0.004
659,0.004
660,0.004
661,0.004
662,0.005
663,0.005
664,0.006
665,0.006
666,0.006
667,0.006
668,0.005
669,0.005
670,0.005
671,0.004
672,0.004
673,0.003
674,0.003
675,0.002
676,0.002
677,0.002
678,0.002
679,0.002
680,0.001
681,0.001
682,0.001
683,0.001
684,0.001
685,0.002
686,0.002
687,0.002
688,0.003
689,0.003
690,0.003
691,0.004
692,0.004
693,0.004
694,0.004
695,0.004
696,0.004
697,0.004
698,0.003
699,0.003
700,0.003